City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
193,bambous virieux,MU,77.22,moderate rain,-20.34,57.76,Casa Tia Villa
196,flinders,AU,69.21,light rain,-34.58,150.86,Shellharbour Resort & Conference Centre
198,sao filipe,CV,74.73,broken clouds,14.9,-24.5,Hotel Xaguate
199,aracoiaba,BR,80.1,broken clouds,-4.37,-38.81,Bar Redondo e Pousada
201,the valley,AI,80.82,clear sky,18.22,-63.06,CeBlue Villas & Beach Resort
202,port elizabeth,ZA,77.09,overcast clouds,-33.92,25.57,39 On Nile Guest House
204,malanje,AO,64.81,broken clouds,-9.54,16.34,Hotel Ginga
207,cabedelo,BR,81.75,scattered clouds,-6.98,-34.83,Hotel Pigalle
208,bitung,ID,76.05,overcast clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
209,kathu,TH,75.02,broken clouds,7.92,98.33,Novotel Phuket Resort
210,grand-lahou,CI,79.72,overcast clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
214,batemans bay,AU,72.19,overcast clouds,-35.72,150.18,Batemans Bay Marina Resort
215,esperance,AU,60.57,scattered clouds,-33.87,121.9,Hospitality Esperance
219,mahebourg,MU,77.25,moderate rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
223,stephenville,US,70.41,clear sky,32.22,-98.2,La Quinta Inn & Suites by Wyndham Stephenville
224,kavieng,PG,79.02,light rain,-2.57,150.8,Nusa Island Retreat
225,porbandar,IN,70.23,clear sky,21.64,69.61,Lords Inn Porbandar
233,miramar,US,73.02,scattered clouds,25.99,-80.23,Chef Jassy
234,mattru,SL,76.26,broken clouds,7.62,-11.83,"Mondkor Town, Bagbo Chiefdom, Bo District"
236,bunia,CD,73.47,overcast clouds,1.57,30.25,Gold Star International Hotel
238,hervey bay,AU,81.03,overcast clouds,-25.3,152.85,Shelly Bay Resort
239,tchollire,CM,69.06,clear sky,8.4,14.17,"Auberge ""l'amicale"""
241,los llanos de aridane,ES,62.35,broken clouds,28.66,-17.92,Valle Aridane
242,coihaique,CL,68.61,broken clouds,-45.58,-72.07,Diego De Almagro Coyhaique
243,marzuq,YE,63.43,broken clouds,14.4,46.47,
246,guatire,VE,81.0,few clouds,10.48,-66.54,Parque Residencial Canaima I
