City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Namatanai,PG,-3.6667,152.4333,84.25,72,97,5.75
131,Yangjiang,CN,21.85,111.9667,60.94,56,87,13.2
132,Coquimbo,CL,-29.9533,-71.3436,62.33,88,0,1.14
133,Port Lincoln,AU,-34.7333,135.8667,75.16,64,12,6.58
134,Jackson,US,42.4165,-122.8345,49.87,65,100,5.75
135,Ambulu,ID,-8.345,113.6058,84.02,71,100,5.84
136,Chapayevka,UA,47.4711,36.3451,34.95,88,100,18.79
137,Ostrovnoy,RU,68.0531,39.5131,6.12,95,85,8.95
138,Tari,NG,12.4086,4.4914,64.33,12,25,16.55
139,Talcahuano,CL,-36.7167,-73.1167,56.88,72,0,10.36
140,San Javier,ES,37.8063,-0.8374,53.92,31,2,8.05
141,Moberly,US,39.4184,-92.4382,31.42,71,0,6.91
142,Kaitangata,NZ,-46.2817,169.8464,63.61,77,81,4.32
143,Naze,JP,28.3667,129.4833,58.12,55,63,16.71
144,Bone,DE,51.9669,12.1396,38.37,77,100,8.3
145,Galle,LK,6.0367,80.217,83.39,72,17,2.19
146,Saldanha,ZA,-33.0117,17.9442,62.65,79,100,6.02
147,Yaan,NG,7.3833,8.5667,73.38,16,87,11.03
148,Arrecife,ES,28.963,-13.5477,59.07,62,0,5.75
149,Hithadhoo,MV,-0.6,73.0833,82.47,70,6,10.71
150,Praia,CV,14.9215,-23.5087,70.34,68,75,18.41
151,Clyde River,CA,70.4692,-68.5914,-32.57,75,0,3.44
152,Sao Domingos Do Maranhao,BR,-5.5758,-44.3853,69.67,97,25,1.92
153,Ariquemes,BR,-9.9133,-63.0408,70.99,99,100,1.57
154,Tomatlan,MX,19.9333,-105.25,65.7,80,9,2.71
155,Tinskoy,RU,56.1525,96.9161,8.35,87,58,0.67
156,Dingle,PH,10.9995,122.6711,84.74,68,39,10.22
157,Mananara,MG,-16.1667,49.7667,78.58,70,18,7.65
158,Moron,AR,-34.6534,-58.6198,75.02,66,37,3.53
159,Mogok,MM,22.9167,96.5,66.87,34,6,2.51
160,Palu,ID,-0.8917,119.8707,88.57,60,78,5.95
161,Khatanga,RU,71.9667,102.5,-6.12,99,98,7.14
162,Grand Gaube,MU,-20.0064,57.6608,83.37,70,77,8.01
163,San Quintin,MX,30.4833,-115.95,57.74,72,0,10.71
164,Sabang,ID,5.8933,95.3214,81.55,76,80,11.7
165,Vastseliina,EE,57.7303,27.2932,30.85,99,100,2.35
166,Fare,PF,-16.7,-151.0167,81.19,70,10,9.8
167,Deputatskiy,RU,69.3,139.9,-23.28,100,68,1.9
168,Kununurra,AU,-15.7667,128.7333,87.78,70,93,13.8
